"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.269816174235,2
7.271750174167,3
7.271920174167,2
7.277033173986,3
7.277203173986,2
7.277378807642,3
7.277628807642,2
7.278064178479,3
7.278314178479,2
7.278372812064,3
7.278530812064,2
7.278629812064,3
7.278787812064,2
7.278859812064,3
7.279017812064,2
7.279287812064,3
7.279445812064,2
7.279619445567,3
7.279653445567,2
7.279747079054,3
7.279781079054,2
7.28022271252,3
7.28025671252,2
7.280642712506,3
7.280676712506,2
7.280956712506,3
7.281114712506,2
7.2867073458,3
7.2868653458,2
7.2889713458,3
7.2891293458,2
7.28927797866,3
7.28952797866,2
7.29004197866,3
7.29029197866,2
7.29076997866,3
7.29101997866,2
7.291078611397,3
7.291236611397,2
7.291331244117,3
7.291581244117,2
7.291924244117,3
7.292174244117,2
7.292631244079,3
7.292881244079,2
7.293881244079,3
7.294131244079,2
7.296412780677,3
7.296662780677,2
7.297122780677,3
7.297372780677,2
7.297877780677,3
7.298127780677,2
7.298533780677,3
7.298691780677,2
7.298934780677,3
7.299092780677,2
7.299641780677,3
7.299799780677,2
7.300204780677,3
7.300362780677,2
7.301406778957,3
7.301564778957,2
7.303513947687,3
7.303671947687,2
7.304139947687,3
7.304297947687,2
7.304401579537,3
7.304651579537,2
7.305210579537,3
7.305460579537,2
7.306181579537,3
7.306431579537,2
7.307267211274,3
7.307517211274,2
7.307575842913,3
7.307733842913,2
7.308021842913,3
7.308179842913,2
7.308422842913,3
7.308580842913,2
7.309480842913,3
7.309638842913,2
7.311312842913,3
7.311470842913,2
7.311637474285,3
7.311807474285,2
7.312140474285,3
7.312310474285,2
7.312688474285,3
7.312858474285,2
7.313002474285,3
7.313172474285,2
7.314990474285,3
7.315160474285,2
7.321057699128,3
7.321091699128,2
7.321407329848,3
7.321441329848,2
7.321651960551,3
7.321821960551,2
7.328737952755,3
7.328907952755,2
7.329015952755,3
7.329265952755,2
7.329324582948,3
7.329482582948,2
7.329590582948,3
7.329748582948,2
7.329843213106,3
7.330093213106,2
7.330598213106,3
7.330848213106,2
7.330906843195,3
7.331064843195,2
7.331352843195,3
7.331510843195,2
7.331677473236,3
7.331927473236,2
7.332432473236,3
7.332682473236,2
7.334060473179,3
7.334310473179,2
7.336082473115,3
7.336332473115,2
7.338236528626,3
7.338486528626,2
7.340512528593,3
7.340762528593,2
7.340821158024,3
7.340979158024,2
7.341051158024,3
7.341209158024,2
7.341839158024,3
7.341997158024,2
7.342249158024,3
7.342407158024,2
7.344711158024,3
7.344869158024,2
7.345283158024,3
7.345441158024,2
7.347484158024,3
7.347642158024,2
7.347790786996,3
7.348040786996,2
7.348816415929,3
7.349066415929,2
7.34912504481,3
7.34928304481,2
7.34948104481,3
7.34963904481,2
7.34998104481,3
7.35013904481,2
7.35036404481,3
7.35052204481,2
7.35120604481,3
7.35136404481,2
7.356411198148,3
7.356569198148,2
7.360088198148,3
7.360246198148,2
7.360390198148,3
7.360560198148,2
7.360812198148,3
7.360982198148,2
7.361479826259,3
7.361649826259,2
7.362549826259,3
7.362719826259,2
7.363142826259,3
7.363312826259,2
7.363443454195,3
7.363693454195,2
7.364036454195,3
7.364286454195,2
7.364692454195,3
7.364942454195,2
7.365843454195,3
7.366093454195,2
7.366490454195,3
7.366740454195,2
7.367182454195,3
7.367432454195,2
7.375463123309,3
7.375713123309,2
7.375771750428,3
7.375929750428,2
7.37605137753,3
7.37630137753,2
7.376360004611,3
7.376518004611,2
7.376824004611,3
7.376982004611,2
7.377103631643,3
7.377353631643,2
7.377412258654,3
7.377570258654,2
7.377979258645,3
7.378137258645,2
7.37896725862,3
7.37912525862,2
7.379228885511,3
7.379478885511,2
7.379902885511,3
7.380152885511,2
7.381111512348,3
7.381361512348,2
7.381821512348,3
7.382071512348,2
7.383080512348,3
7.383330512348,2
7.383389138965,3
7.383547138965,2
7.383745138965,3
7.383903138965,2
7.384056138965,3
7.384214138965,2
7.384344765521,3
7.384514765521,2
7.384708392057,3
7.384958392057,2
7.385319392057,3
7.385569392057,2
7.385903392057,3
7.386153392057,2
7.386883392057,3
7.387133392057,2
7.389465392057,3
7.389715392057,2
7.390067392057,3
7.390317392057,2
7.398285017973,3
7.398535017973,2
7.398593643588,3
7.398751643588,2
7.398837269186,3
7.399087269186,2
7.399583269186,3
7.399833269186,2
7.400320269186,3
7.400570269186,2
7.400628894667,3
7.400786894667,2
7.401137894667,3
7.401295894667,2
7.401538894667,3
7.401696894667,2
7.401818520071,3
7.402068520071,2
7.402528520071,3
7.402778520071,2
7.403829865612,3
7.404079865612,2
7.405956519986,3
7.406206519986,2
7.406265145096,3
7.406423145096,2
7.406594145096,3
7.406752145096,2
7.406900770168,3
7.407150770168,2
7.407484770168,3
7.407734770168,2
7.407793395178,3
7.407951395178,2
7.408122395178,3
7.408280395178,2
7.408505395178,3
7.408663395178,2
7.408875020124,3
