"datarateSelected:vector manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.447057351471,54000000
7.447929351471,54000000
7.449350351471,54000000
7.449648973735,54000000
7.449920595982,54000000
7.450221218212,54000000
7.450958218212,54000000
7.451686218212,54000000
7.452945218212,54000000
7.454303218212,54000000
7.454601840152,54000000
7.455057840152,54000000
7.455409462046,54000000
7.455708083913,54000000
7.456119083913,54000000
7.456664083913,54000000
7.456898705701,54000000
7.457653705701,54000000
7.458723705701,54000000
7.459022327352,54000000
7.459307327352,54000000
7.460023327352,54000000
7.461000327352,54000000
7.463739948876,54000000
7.463974570202,54000000
7.464684570202,54000000
7.465628570202,54000000
7.466410570202,54000000
7.466949570202,54000000
7.467248191315,54000000
7.467722191315,54000000
7.468010812381,54000000
7.468405812381,54000000
7.468935812381,54000000
7.469267812381,54000000
7.471138812381,54000000
7.471412433223,54000000
7.472131433223,54000000
7.472430053998,54000000
7.472850053998,54000000
7.474136674724,54000000
7.474690674724,54000000
7.475865674724,54000000
7.477184674724,54000000
7.483003674724,54000000
7.483341674724,54000000
7.483925674724,54000000
7.484788674724,54000000
7.485087294674,54000000
7.485516294674,54000000
7.485840914579,54000000
7.486532914579,54000000
7.486831534415,54000000
7.487202154234,54000000
7.487732154234,54000000
7.488595154234,54000000
7.488893773936,54000000
7.489201393621,54000000
7.489538013286,54000000
7.489836632927,54000000
7.490337632927,54000000
7.490585632927,54000000
7.491220632927,54000000
7.492422632927,54000000
7.492774252383,54000000
7.493304252383,54000000
7.494131252383,54000000
7.494429871724,54000000
7.494773491048,54000000
7.495330491048,54000000
7.495629110311,54000000
7.495977110311,54000000
7.496337729535,54000000
7.497083729535,54000000
7.497793729535,54000000
7.498092348638,54000000
7.498503348638,54000000
7.498742348638,54000000
7.498985967682,54000000
7.499434967682,54000000
7.500225967682,54000000
7.501421967682,54000000
7.502365967682,54000000
7.50269358649,54000000
7.50332258649,54000000
7.50387058649,54000000
7.504169205198,54000000
7.504454205198,54000000
7.504792205198,54000000
7.505283205198,54000000
7.507763205198,54000000
7.510459205198,54000000
7.511616823565,54000000
7.511846823565,54000000
7.512646823565,54000000
7.513653823565,54000000
7.514579823565,54000000
7.515685823565,54000000
7.519437255829,54000000
7.523087423731,54000000
7.523386041191,54000000
7.523851041191,54000000
7.524225041191,54000000
7.524563041191,54000000
7.524896658558,54000000
7.525489658558,54000000
7.526278658518,54000000
7.526835658518,54000000
7.528787658518,54000000
7.533223658518,54000000
7.544066762804,54000000
7.544704762804,54000000
7.545020378867,54000000
7.545318994906,54000000
7.545612994906,54000000
7.546373994906,54000000
7.546909994906,54000000
7.548085610815,54000000
7.548374226659,54000000
7.548760226659,54000000
7.549006842459,54000000
7.549305458241,54000000
7.549797458241,54000000
7.550234458241,54000000
7.550604073946,54000000
7.551278073946,54000000
7.552069073946,54000000
7.554361174104,54000000
7.55465978954,54000000
7.55498078954,54000000
7.55548078954,54000000
7.55673678954,54000000
7.557052404825,54000000
7.557582404825,54000000
7.559214020029,54000000
7.560725020029,54000000
7.562443020029,54000000
7.567368634887,54000000
7.576332115902,54000000
7.576898115902,54000000
7.577380115902,54000000
7.578226729862,54000000
7.578515343761,54000000
7.579099343761,54000000
7.579899343761,54000000
7.580942343761,54000000
7.582643132189,54000000
7.583344132189,54000000
7.583642745755,54000000
7.583999745755,54000000
7.584589745755,54000000
7.585946745718,54000000
7.587571745718,54000000
7.588404745718,54000000
7.588738358961,54000000
7.589038972183,54000000
7.589595972183,54000000
7.591116972136,54000000
7.592402972136,54000000
7.592701585119,54000000
7.592968585119,54000000
7.593720585119,54000000
7.594211585119,54000000
7.594576585119,54000000
7.596957585119,54000000
7.597237197812,54000000
7.597785197812,54000000
7.598693197812,54000000
7.599655197812,54000000
7.600653197812,54000000
7.606707284354,54000000
7.615506284254,54000000
7.616099284254,54000000
7.616428284254,54000000
7.616784284254,54000000
7.617135895674,54000000
7.617710895674,54000000
7.618339895674,54000000
7.618638506991,54000000
7.618910118292,54000000
7.619683118292,54000000
7.620944118233,54000000
7.622012118197,54000000
7.624648118197,54000000
7.62494672911,54000000
7.62538472911,54000000
7.625709339979,54000000
7.626194339979,54000000
7.626521950795,54000000
7.627204950795,54000000
7.627797950795,54000000
7.628939950795,54000000
7.631242950795,54000000
7.631541561286,54000000
7.632160171756,54000000
7.632714171756,54000000
7.633898171756,54000000
7.63413278208,54000000
7.63475278208,54000000
7.63576878208,54000000
7.636067392281,54000000
7.636361392281,54000000
7.636641002447,54000000
7.636939612592,54000000
7.637377612592,54000000
7.637886612592,54000000
7.638166222661,54000000
7.638939222661,54000000
7.639901222661,54000000
7.641340222661,54000000
7.643031222661,54000000
7.643329832397,54000000
7.643664442117,54000000
7.64415844211,54000000
7.64449944211,54000000
7.64559644211,54000000
7.64610844211,54000000
7.64708844211,54000000
7.65090344211,54000000
7.65121744211,54000000
7.65178344211,54000000
7.65249344211,54000000
7.65410344211,54000000
7.654402051139,54000000
7.654831051139,54000000
7.655232051139,54000000
7.656236051139,54000000
7.657681051139,54000000
7.661613659934,54000000
7.670682045924,54000000
7.670966045924,54000000
