"packetErrorRate:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.144006546088,1
7.144128466555,1
7.144838806933,0
7.1452713208,1
7.14538755938,0.00000000031424463
7.145494229436,1
7.146066364914,0.000000482609855412
7.146712438651,0
7.146917868547,0
7.147077510954,0
7.148512673312,1
7.149638376191,0
7.150181018394,0
7.150957706823,0.000000000015683454
7.151107706809,0
7.151767171441,0
7.152891928676,0
7.153241151714,0
7.153462739175,0
7.154263962028,0
7.154377747276,0
7.154851144869,0
7.154947144862,0
7.155128085716,1
7.155261109067,0.000000000186187065
7.156657804409,0.000000022149498013
7.157554712962,0.000000024655253616
7.158035171771,0
7.158683188747,0
7.159842702969,0.00000008744906832
7.160258814755,0
7.160496482488,0
7.160984480388,1
7.161723893037,0
7.162116893024,0
7.162726034529,0.000000000001247002
7.163458022567,0
7.165231745949,0
7.16567545121,1
7.168787677094,0
7.168969407387,0
7.169306407376,0
7.170754609673,0
7.170953250468,0
7.171117811653,0
7.172000811624,0
7.178126674745,0.000000000000671462
7.180064674482,0
7.181401842996,0
7.18157984299,0
7.184314401524,0
7.18441679132,0
7.184645401513,0.000000000000095923
7.185346791161,0.000000000026858515
7.185390959854,0
7.186593959693,0
7.188634790716,0.000000139902640361
7.189615959591,0
7.189869599111,0
7.193506958849,0.000000000001247002
7.197385597861,0
7.198157597835,0
7.199436236712,0
7.200466875536,0.000000001169688346
7.2010615143,0
7.202808152949,0
7.205197562845,0
7.205241731557,0
7.20549411709,0
7.206155285773,0.000000000077889694
7.206369285691,0
7.209797031424,0
7.210772415856,0
7.212272584489,0
7.212321968638,0
7.212941968555,0
7.214747606455,1
7.218697606322,0
7.219817967624,0.000000522621108611
7.22379360486,0
7.224785242032,0
7.228750879016,0
7.229269878995,0.000000010677914552
7.230062878969,0
7.232862878875,0
7.234071258692,0.000000185523452378
7.23411542743,0
7.234288975871,0
7.234583807086,0
7.234627975825,0
7.23499480703,0.000000025378227297
7.235837806916,0
7.235881975656,0
7.241728611836,0
7.2492476245,0
7.250415624461,0
7.250891259888,0.010340921637562998
7.251126895292,0
7.252422530608,0
7.25296053059,1
7.253396165861,0
7.253612801097,0
7.256735436127,0
7.258899445882,0
7.25915398932,0
7.265418532511,0
7.266154532486,0
7.266796166852,0
7.26684553996,0
7.267388174292,0
7.26804417427,0
7.269087174235,0.000000001380527692
7.270301174194,0
7.271119174167,0.000000011918466213
