"powerConsumption:vector manet.host[1].energyStorage ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
0.139095857823,0.004
0.139095857823,0.004
0.14003532021,0
0.14003532021,0.019999999999999996
0.14008132021,0.004
0.14008132021,0.004
0.144575238806,0
0.144575238806,0.019999999999999996
0.144621238806,0.004
0.144621238806,0.004
1.110220688617,0
1.110220688617,0
1.110220688617,0.004
1.110220688617,0
1.110220688617,0.20000000000000001
1.110258688617,0.004
1.110258688617,0.004
1.110258688617,0
1.110258688617,0.004
1.110258688617,0.004
2.110220688617,0
2.110220688617,0
2.110220688617,0.004
2.110220688617,0
2.110220688617,0.20000000000000001
2.110258688617,0.004
2.110258688617,0.004
2.110258688617,0
2.110258688617,0.004
2.110258688617,0.004
3.129296474219,0
3.129296474219,0.019999999999999996
3.129342474219,0.004
3.129342474219,0.004
3.129379474219,0
3.129379474219,0
3.129379474219,0.004
3.129379474219,0
3.129379474219,0.20000000000000001
3.129417474219,0.004
3.129417474219,0.004
3.129417474219,0
3.129417474219,0.004
3.129417474219,0.004
3.130041195515,0
3.130041195515,0.019999999999999996
3.130079195515,0.004
3.130079195515,0.004
3.130089195515,0
3.130089195515,0
3.130089195515,0.004
3.130089195515,0
3.130089195515,0.20000000000000001
3.130123195515,0.004
3.130123195515,0.004
3.130123195515,0
3.130123195515,0.004
3.130123195515,0.004
3.130212401166,0
3.130212401166,0.019999999999999996
3.130258401166,0.004
3.130258401166,0.004
3.130367401166,0
3.130367401166,0
3.130367401166,0.004
3.130367401166,0
3.130367401166,0.20000000000000001
3.130409401166,0.004
3.130409401166,0.004
3.130409401166,0
3.130409401166,0.004
3.130409401166,0.004
3.130589401166,0
3.130589401166,0
3.130589401166,0.004
3.130589401166,0
3.130589401166,0.20000000000000001
3.130631401166,0.004
3.130631401166,0.004
3.130631401166,0
3.130631401166,0.004
3.130631401166,0.004
3.131225401166,0
3.131225401166,0
3.131225401166,0.004
3.131225401166,0
3.131225401166,0.20000000000000001
3.131267401166,0.004
3.131267401166,0.004
3.131267401166,0
3.131267401166,0.004
3.131267401166,0.004
3.131663401166,0
3.131663401166,0
3.131663401166,0.004
3.131663401166,0
3.131663401166,0.20000000000000001
3.131705401166,0.004
3.131705401166,0.004
3.131705401166,0
3.131705401166,0.004
3.131705401166,0.004
3.132506401166,0
3.132506401166,0
3.132506401166,0.004
3.132506401166,0
3.132506401166,0.20000000000000001
3.132548401166,0.004
3.132548401166,0.004
3.132548401166,0
3.132548401166,0.004
3.132548401166,0.004
3.132565122187,0
3.132565122187,0.019999999999999996
3.132599122187,0.004
3.132599122187,0.004
3.132672122187,0
3.132672122187,0
3.132672122187,0.004
3.132672122187,0
3.132672122187,0.20000000000000001
3.132714122187,0.004
3.132714122187,0.004
3.132714122187,0
3.132714122187,0.004
3.132714122187,0.004
3.132936843182,0
3.132936843182,0.019999999999999996
3.132974843182,0.004
3.132974843182,0.004
3.132984843182,0
3.132984843182,0
3.132984843182,0.004
3.132984843182,0
3.132984843182,0.20000000000000001
3.133018843182,0.004
3.133018843182,0.004
3.133018843182,0
3.133018843182,0.004
3.133018843182,0.004
3.133089564153,0
3.133089564153,0.019999999999999996
3.133127564153,0.004
3.133127564153,0.004
3.133182564153,0
3.133182564153,0
3.133182564153,0.004
3.133182564153,0
3.133182564153,0.20000000000000001
3.133224564153,0.004
3.133224564153,0.004
3.133224564153,0
3.133224564153,0.004
3.133224564153,0.004
3.13329420017,0
3.13329420017,0.019999999999999996
3.13333220017,0.004
3.13333220017,0.004
3.133344507781,0
3.133344507781,0.019999999999999996
3.133378507781,0.004
3.133378507781,0.004
3.133453143811,0
3.133453143811,0.019999999999999996
3.133499143811,0.004
3.133499143811,0.004
3.133637087452,0
3.133637087452,0.019999999999999996
3.133671087452,0.004
3.133671087452,0.004
3.134014087452,0
3.134014087452,0
3.134014087452,0.004
3.134014087452,0
3.134014087452,0.20000000000000001
3.134056087452,0.004
3.134056087452,0.004
3.134056087452,0
3.134056087452,0.004
3.134056087452,0.004
3.134446008974,0
3.134446008974,0.019999999999999996
3.134492008974,0.004
3.134492008974,0.004
3.134681487032,0
