"radioMode:vector manet.host[1].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
7.763500446463,3
7.763534446463,2
7.764579446357,3
7.764613446357,2
7.769042047885,3
7.769076047885,2
7.77025948943,3
7.77029348943,2
7.775073930388,3
7.775107930388,2
7.778519930047,3
7.778553930047,2
7.778737369817,3
7.778771369817,2
7.779074809534,3
7.779108809534,2
7.779675809474,3
7.779709809474,2
7.783877010906,3
7.783911010906,2
7.810308081434,3
7.810342081434,2
7.810680514917,3
7.810714514917,2
7.812595948165,3
7.812629948165,2
7.850541922182,3
7.850575922182,2
7.86117837054,3
7.86121237054,2
7.866421370024,3
7.866455370024,2
7.886122002567,3
7.886156002567,2
7.902952782837,3
7.902986782837,2
7.921360522598,3
7.921394522598,2
7.928357540574,3
7.928391540574,2
7.929897950676,3
7.929931950676,2
7.931691542218,3
7.931725542218,2
7.940407132819,3
7.940441132819,2
7.942915132573,3
7.942949132573,2
7.943132539942,3
7.943166539942,2
7.944124947202,3
7.944158947202,2
7.944342354334,3
7.944376354334,2
7.944599354308,3
7.944633354308,2
7.944989761339,3
7.945023761339,2
7.945645761275,3
7.945679761275,2
7.945863168108,3
7.945897168108,2
7.949125349062,3
7.949159349062,2
7.956153938773,3
7.956187938773,2
7.956371343542,3
7.956405343542,2
7.960932343094,3
7.960966343094,2
7.961628746879,3
7.961662746879,2
7.962037150563,3
7.962071150563,2
7.962254554176,3
7.962288554176,2
7.962673554135,3
7.962707554135,2
7.967249967215,3
7.967283967215,2
7.967467369805,3
7.967501369805,2
7.968602369693,3
7.968636369693,2
7.976079771315,3
7.976113771315,2
7.981288591298,3
7.981322591298,2
7.982584179722,3
7.982618179722,2
7.98447575603,3
7.98450975603,2
7.985990743475,3
7.986024743475,2
7.987464561307,3
7.987498561307,2
7.993565959355,3
7.993599959355,2
8.008002957947,3
8.008036957947,2
8.014358541409,3
8.014392541409,2
8.021957329523,3
8.021999329523,2
8.022278329523,3
8.022320329523,2
8.022518329523,3
8.022560329523,2
8.023724701409,3
8.023766701409,2
8.024505793065,3
8.024547793065,2
8.02879747831,3
8.02883947831,2
8.029007853233,3
8.029049853233,2
8.029209228147,3
8.029251228147,2
8.029350228147,3
8.029392228147,2
8.029473228147,3
8.029515228147,2
8.030019228147,3
8.030061228147,2
8.030193603018,3
8.030235603018,2
8.030451603018,3
8.030493603018,2
8.031050455936,3
8.031084455936,2
8.031301455936,3
8.031343455936,2
8.031983276958,3
8.032025276958,2
8.033168276958,3
8.033210276958,2
8.036993793141,3
8.037035793141,2
8.041236316035,3
8.041270316035,2
8.044754316035,3
8.044796316035,2
8.044976316035,3
8.045018316035,2
8.045315316035,3
8.045357316035,2
8.045879316035,3
8.045921316035,2
8.046101316035,3
8.046143316035,2
8.046257690225,3
8.046299690225,2
8.046434690225,3
8.046476690225,2
8.046636064401,3
8.046678064401,2
8.046858064401,3
8.046900064401,2
8.047143064401,3
8.047185064401,2
8.047410064401,3
8.047452064401,2
8.049495064401,3
8.049537064401,2
8.053614064401,3
8.053656064401,2
8.059551313407,3
8.059585313407,2
8.062431313407,3
8.062473313407,2
8.062653313407,3
8.062695313407,2
8.062857313407,3
8.062899313407,2
8.063097313407,3
8.063139313407,2
8.063247313407,3
8.063289313407,2
8.064603313407,3
8.064645313407,2
8.067768313407,3
8.067810313407,2
8.067942686684,3
8.067984686684,2
8.068137686684,3
8.068179686684,2
8.068512686684,3
8.068554686684,2
8.069697686684,3
8.069739686684,2
8.071764686684,3
8.071806686684,2
8.072931686684,3
8.072973686684,2
8.073873686684,3
8.073915686684,2
8.074050686684,3
8.074092686684,2
8.07682506811,3
8.07685906811,2
8.077042449234,3
8.077076449234,2
8.07759244918,3
8.07762644918,2
8.090626447906,3
8.090660447906,2
8.090953826331,3
8.090987826331,2
8.093767826057,3
8.093801826057,2
8.094494203821,3
8.094528203821,2
8.110617202255,3
8.110651202255,2
8.111298576733,3
8.111332576733,2
8.113626576505,3
8.113660576505,2
8.11829357605,3
8.11832757605,2
8.118594949067,3
8.118628949067,2
8.132661320681,3
8.132695320681,2
8.133017320646,3
8.133051320646,2
8.133373320612,3
8.133407320612,2
8.139652319999,3
8.139686319999,2
8.139979688854,3
8.140013688854,2
8.140197057647,3
8.140231057647,2
8.14149905752,3
8.14153305752,2
8.152995056409,3
8.153029056409,2
8.153212422664,3
8.153246422664,2
8.153656788864,3
8.153690788864,2
8.154438788788,3
8.154472788788,2
8.168185787449,3
8.168219787449,2
8.168804150705,3
8.168838150705,2
8.1709161505,3
8.1709501505,2
8.171199513258,3
8.171233513258,2
8.171589875958,3
8.171623875958,2
8.17180723859,3
8.17184123859,2
8.172251601167,3
8.172285601167,2
8.174328963489,3
8.174362963489,2
8.175413963384,3
8.175447963384,2
8.180541962893,3
8.180575962893,2
8.181169323742,3
8.181203323742,2
8.182080684451,3
8.182114684451,2
8.185776684091,3
8.185810684091,2
8.18866468381,3
8.18869868381,2
8.189148043092,3
8.189182043092,2
8.189468043061,3
8.189502043061,2
8.191800402008,3
8.191834402008,2
8.192226760694,3
8.192260760694,2
8.192909760628,3
8.192943760628,2
8.193718760549,3
8.193752760549,2
8.20471975947,3
8.20475375947,2
8.20506511565,3
8.20509911565,2
8.209604471346,3
8.209638471346,2
8.211706471141,3
8.211740471141,2
8.215143825662,3
8.215177825662,2
8.221065179263,3
8.221099179263,2
8.222875532122,3
8.222909532122,2
8.223092884775,3
8.223126884775,2
8.223448884741,3
8.223482884741,2
8.23582723611,3
8.23586123611,2
8.236609236034,3
8.236643236034,2
8.236826586018,3
8.236860586018,2
8.23978958573,3
8.23982358573,2
8.240700935037,3
8.240734935037,2
8.243317934783,3
8.243351934783,2
8.248778934253,3
8.248812934253,2
8.253193933815,3
8.253227933815,2
8.254360933702,3
8.254394933702,2
8.254787280227,3
8.254821280227,2
8.255004626681,3
8.255038626681,2
8.255644626618,3
8.255678626618,2
8.260350972479,3
8.260384972479,2
8.266765971856,3
8.266799971856,2
8.266983315985,3
8.267017315985,2
8.277163314999,3
8.277197314999,2
8.279719656892,3
8.279753656892,2
8.282066656665,3
8.282100656665,2
8.289749655911,3
8.289783655911,2
8.291712995421,3
8.291746995421,2
8.29430299517,3
8.29433699517,2
8.294993333912,3
8.295027333912,2
8.300296333398,3
8.300330333398,2
8.302441333199,3
8.302475333199,2
8.303187333127,3
8.303221333127,2
8.304557670081,3
8.304591670081,2
8.305011006867,3
8.305045006867,2
8.309390006443,3
8.309424006443,2
8.31571500583,3
8.31574900583,2
8.31624300577,3
8.31627700577,2
8.317252005672,3
8.317286005672,2
8.318256005575,3
8.318290005575,2
8.318700339709,3
8.318734339709,2
8.31891767377,3
8.31895167377,2
8.319946007719,3
8.319980007719,2
8.323587007367,3
8.323621007367,2
8.324115340452,3
8.324149340452,2
8.327712340104,3
8.327746340104,2
8.32883967234,3
8.32887367234,2
8.335230671713,3
8.335264671713,2
8.337414671502,3
8.337448671502,2
8.337814001931,3
8.337848001931,2
8.338450332252,3
8.338484332252,2
8.339076332191,3
8.339110332191,2
8.339594332141,3
8.339628332141,2
8.342142331894,3
8.342176331894,2
8.343404661317,3
8.343438661317,2
8.343794990588,3
8.343828990588,2
8.344486990521,3
8.344520990521,2
8.344970319565,3
8.345004319565,2
8.358272318287,3
8.358306318287,2
8.369095317232,3
8.369129317232,2
8.36944064154,3
8.36947464154,2
8.369657965784,3
8.369691965784,2
8.37124796563,3
8.37128196563,2
8.377908964987,3
8.377942964987,2
8.378973287522,3
8.379007287522,2
8.379591609886,3
8.379625609886,2
8.380754932079,3
8.380788932079,2
