"packetReceivedFromPeerWithoutRetry:vector(packetBytes) manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
19.803470708075,134
19.803657192936,128
19.80374481798,134
19.803863266577,134
19.804028696464,128
19.805445898379,134
19.805660208925,140
19.80597198135,134
19.806082896282,128
19.806613659586,134
19.806706532155,122
19.807071212203,140
19.807146233409,134
19.807224334961,134
19.808898529916,122
19.809031402322,134
19.809302328758,140
19.809801849887,128
19.811033931523,122
19.811285774944,140
19.812067135126,134
19.812372976407,128
19.812627206862,134
19.812892554427,140
19.8130546936,140
19.813358842338,134
19.813619745961,134
19.814238356157,134
19.814296274633,140
19.814416178315,134
19.81461805033,134
19.814718672129,140
19.815149161796,134
19.81536061163,134
19.815799800173,134
19.815897147696,140
19.816975587527,140
19.817785195227,140
19.818792396492,140
19.821340407814,140
19.822141722354,134
19.822472877223,134
19.823090496257,140
19.824202356303,140
19.825185017395,140
19.825952612662,134
19.826603856069,134
19.82697393479,140
19.829283852449,134
19.834777165589,140
19.836214238859,140
19.83888292662,140
19.840985080721,14
19.844739804156,64
19.856185528719,14
19.856894253351,14
19.858634978154,14
19.867035703779,14
19.87750643043,14
19.878233157153,14
19.878638883915,14
19.905636613328,14
19.905793342757,14
19.90643907225,14
19.907390801836,14
19.908126531495,14
19.909552261294,14
19.910734991209,14
19.912874721334,14
19.926720452823,14
19.948021810954,64
19.964819546205,14
19.964949281469,14
19.9656290168,14
19.986083754157,14
19.99067149197,14
19.997995230509,14
20.00746696999,14
20.007908709515,14
20.008038449052,14
20.020795189858,14
20.023486930932,14
20.025542672211,14
20.02614341355,14
20.027506155024,14
20.041108897853,14
20.04157764073,14
20.048046384251,14
20.073175130284,14
20.080615877061,14
20.089787624757,14
20.090265372501,14
20.090635120282,14
22.958888267612,64
22.969134651025,14
23.060536050374,864
23.119895842118,1500
23.120116243227,864
23.134977244113,944
23.200820068639,864
23.209020069132,1500
23.219280069761,864
23.22986148348,864
23.26587473388,1500
23.311550583386,864
23.342393439199,1500
23.407230443283,864
23.420171317641,944
23.446985760785,864
23.459928761606,1500
23.489894650345,1500
23.642633874855,864
23.653386342493,864
23.705407345965,864
23.718579777361,944
23.738361737322,1500
23.748252737997,864
23.788312740715,864
24.161180422875,1500
24.227206513691,86
24.230551115296,98
24.230757045654,14
24.235140350557,98
24.235373281567,14
24.238504894849,104
24.238674826325,14
24.238975083809,104
24.239154015353,14
24.240269141686,110
24.240535073424,14
24.240897988138,110
24.241013919944,14
24.241562509107,110
24.24169644101,14
24.242886036277,116
24.243046968371,14
24.243244959456,122
24.243431959462,104
24.243513986004,116
24.243827630989,14
24.243952563211,14
24.244007776185,116
24.245186805044,110
24.245739702219,116
24.245972634727,14
24.246423546658,110
24.247133025539,110
24.247488039291,122
24.247998417794,122
24.249014350732,14
24.249114212992,122
24.249311145972,14
24.249544078986,14
24.249723012025,14
24.250062571645,116
24.250304504767,14
24.252696985861,122
24.252788985864,116
24.254673178476,122
24.25659811249,14
24.260411665187,122
24.273319652008,110
24.273525588427,14
24.291884063508,110
24.292408002628,14
24.298933165819,116
24.299244589611,14
24.307281564213,122
24.323113406511,122
24.367587395282,122
24.375892392987,86
24.376018868559,86
24.376120355623,122
24.376374306836,122
24.37656130685,92
24.376938306862,1500
24.377152258177,864
24.377593209534,1500
24.377807160945,864
24.378694112495,1500
24.378908064066,864
24.380562941021,98
24.382721845095,1500
24.382935797252,864
24.383471224713,1500
24.383685176979,864
24.383909129285,86
24.389452738805,122
24.395255546505,104
24.395443694005,104
24.400034757897,110
24.400127246015,110
24.40176932056,116
24.40278655553,116
24.404568276338,122
24.406951531064,116
24.407073696642,122
24.407159347109,122
24.409229730757,122
24.409700428138,122
24.409820060076,122
24.409961654604,122
24.410139308728,122
24.411227996425,116
24.411302485034,116
24.413156983557,122
24.413620461453,122
24.413803014047,122
24.414392628061,122
24.417616904631,122
24.417756378371,122
24.420884605715,122
24.430391516291,1500
24.430605475422,864
24.50576997716,864
24.520561983798,864
24.53334449049,1500
24.533558464909,864
24.537919009549,864
24.549419541786,944
24.581436053066,1500
24.58165003473,864
24.596931590512,1500
24.795308230742,1500
24.795522245401,864
24.844107357094,864
24.883370452132,864
24.902343498585,1500
24.903168530366,864
24.906333054372,864
24.917482207677,1500
24.918487241926,864
24.92522434972,944
24.967797354154,1500
24.968011396316,864
24.984524495912,864
25.000550572155,1500
25.000764619627,864
25.019361851537,864
25.019731902083,944
25.049259804227,1500
25.050066859792,864
25.070514923251,1500
25.071914982449,864
25.092657263411,864
25.130367468567,864
25.247709629266,1500
25.264573429558,1500
25.26478752081,864
25.37048607249,1500
25.370700181778,864
25.432046060275,864
25.451901492335,1500
25.452115615665,864
25.458966703103,944
25.473785805783,1500
25.473999932913,864
25.483888587325,1500
25.484102716213,864
25.489181356049,1500
25.495733939431,864
25.505234825941,116
25.505919805433,110
25.506058688673,116
25.507237445148,116
25.507428445165,122
25.507511445172,116
25.507950286873,122
25.510493313941,116
25.512446803922,110
25.512823878847,122
25.513488139179,122
25.513634139192,110
25.514160827986,110
25.514224784595,116
25.514870865852,110
25.51694334909,122
25.51713141206,122
25.517804696109,1500
25.518018830917,864
25.518793785672,116
25.518878418908,116
25.52141803222,122
25.522091319494,116
25.523002104791,116
25.523550409613,122
25.528877395077,122
25.583007170774,864
25.595822288089,864
25.602201845993,944
25.609777861417,14
25.61001763628,14
25.63719266044,14
25.64471822202,14
25.65168140893,864
25.658551502473,1500
25.659547662326,864
25.660569070186,14
25.681409819229,864
25.685684474253,1500
25.685898638735,864
25.706035973829,98
25.706206141957,98
25.706376310115,98
25.708585478699,14
25.708782647295,14
25.723382626968,14
25.727896087024,14
25.728866804069,14
25.737478139098,92
25.744651499495,98
25.752515624289,14
25.752922800797,86
25.753146977359,14
25.760312339664,110
25.760949928716,64
25.761075106706,14
25.768443012648,98
25.768675192009,14
25.769190768074,864
25.790168728672,98
25.791390912135,14
25.812807323271,864
25.831788700124,944
25.83303936689,14
25.873668835224,1500
25.914065677744,14
25.914554217991,92
25.920129051693,92
25.926141209798,104
25.92627476933,92
25.930807257287,110
25.933087260226,864
25.933583203214,98
25.935915704505,92
25.938218460254,110
25.939515270227,92
25.940253093792,110
25.941729142455,98
25.947989169487,122
25.948566056513,116
25.959044468314,110
25.959867344157,110
25.980105124435,116
25.982114537951,110
25.986804732725,116
25.98783760415,122
25.99078353861,116
25.993343170506,864
25.99745435239,122
26.000783798335,110
26.0008543615,92
26.013108460439,864
26.015592734819,116
26.01838391555,110
26.018498234574,122
26.020611648118,92
26.025466608706,116
26.026045864252,122
26.032644492562,1500
26.033489620978,122
26.037354343348,122
26.048745067471,122
26.064844098127,116
26.066259098235,122
26.067271016096,122
26.074697601635,122
26.087184335003,122
26.223791978073,1500
26.255366762604,1500
26.444397711204,944
26.601981726931,1500
26.677906734606,1500
26.687687714905,944
26.760850974705,64
26.790291892056,1500
26.976057231222,98
26.991007324406,98
26.99906701819,14
27.000092712135,14
27.010694056309,944
27.01109710436,1500
27.034041999519,98
27.034281698837,86
27.035078294788,86
27.061867250408,14
27.072031371241,864
27.08186332674,1500
27.088418518573,864
27.116801616126,864
27.146156797407,864
27.159236876634,1500
27.199559682691,14
27.208874000607,14
27.241247347722,1500
27.308892355015,864
27.329262470663,864
27.345332589311,116
27.345655708786,116
27.346764828466,122
27.347232339095,122
27.349436524028,122
27.350999658848,122
27.353571618573,122
27.354537437139,122
27.359189559245,864
27.359655681707,1500
27.370590682904,864
27.477190967825,864
27.521958121691,1500
27.610160295878,1500
27.633051478258,944
27.651190116881,110
27.654806442544,110
27.656524209332,104
27.659886340727,116
27.660065118417,116
27.660907438508,122
27.661875418196,122
27.662227223159,1500
27.666008113412,116
27.667298171851,122
27.667657216994,116
27.668412067954,122
27.671440734624,116
27.673708988119,122
27.674400806203,116
27.678773160481,122
27.679894962828,14
27.682678906861,122
27.68591871018,14
27.688711513951,14
27.760851028978,64
27.765916435011,14
27.773602352966,14
27.852248020397,864
27.985794779734,104
27.986365779799,110
27.994615345176,122
27.996723717282,92
27.99723434247,116
27.997413967672,14
27.997559967686,116
27.997643967696,64
27.997946593013,14
28.008945695406,864
28.014409714099,122
28.112298093526,864
28.119101268716,864
28.140528331466,1500
28.196509935944,1500
28.209009655548,864
28.229725546542,1500
28.239934492429,1500
28.275998535393,864
28.330685930983,1500
28.345273024999,864
28.394365555556,864
28.418793366688,1500
28.504859415614,944
28.51969818655,1500
28.532025929727,104
28.532991672475,14
28.545774523809,1500
28.5513698309,122
28.565725939603,122
28.570632653399,122
28.619143617783,864
28.633020986653,1500
28.636604732369,1500
28.705544570146,1500
28.732038375061,864
28.752835662807,1500
28.770928532643,1500
28.818047783876,1500
28.831874801607,864
28.870469125572,864
28.914900448441,1500
28.915121931991,864
28.999638834003,864
29.000080681698,1500
29.009909233534,116
29.011590038056,14
29.027472817234,1500
29.027687671239,864
29.028901976666,122
29.030700942587,1500
29.045500430348,1500
29.079606578465,1500
29.086967922488,864
29.114875369763,864
29.134913504601,944
29.17091839007,864
29.182966182024,104
29.184533828275,14
29.188034869975,864
29.198078587722,864
29.214775482588,864
29.23205510722,864
29.281573049872,1500
29.326555886505,1500
29.326770808924,864
29.340361430417,1500
29.341816356441,864
29.365479227973,864
29.486354707327,1500
29.48730562613,944
29.50429433353,864
29.55583274702,864
29.562572753266,1500
29.562787730227,864
29.634222104627,864
29.640302643868,864
29.640547638897,944
29.644693816416,1500
29.644914947203,864
29.664074569862,1500
29.664289570423,864
29.680181690999,864
29.697263541431,944
29.729909225859,864
29.764882629678,1500
29.765097653761,864
29.784998506807,864
29.804855161117,864
29.826142645912,86
29.876408149784,864
29.87678719999,1500
29.881111026056,104
29.881292543478,14
29.881945343212,864
29.885309821267,104
29.885740339339,14
29.88898162739,122
29.892784686506,110
29.895604109908,116
29.902017117842,116
29.907925639158,14
29.910273463214,1500
29.910488521361,864
29.925482106664,122
29.978150499383,864
30.000590736432,864
30.066469001518,1500
30.066684096441,864
30.0739511889,1500
30.095917084737,92
30.099633343267,104
30.111091070562,104
30.115194013541,110
30.120069324456,116
30.121556081253,864
30.138707166904,116
30.1400128381,1500
30.142853951204,14
30.143370064277,14
30.148397535275,864
30.148978092195,1500
30.149194649182,864
30.151594788183,122
30.158667438962,14
30.160919997558,944
30.165656598858,1500
30.250393945828,1500
30.250609084285,864
30.332604457482,1500
30.333501773654,944
30.396438078421,864
30.409149707595,864
30.460481517334,122
30.461042224872,122
30.467255188152,122
30.477171144107,116
30.481936727738,14
30.484125729698,122
30.487234790208,864
30.487658985089,1500
30.489199375426,1500
30.489414570763,864
30.542954812815,1500
30.543826021245,864
30.547267230762,1500
30.547482439988,864
30.547725649283,98
30.568639487973,110
30.571100386295,122
30.574913244304,116
30.576754309211,116
30.577984777355,116
30.578129724853,122
30.579387246336,864
30.582505081227,122
30.583469844514,116
30.583986205843,122
30.592918744128,122
30.594576424761,1500
30.656528733571,1500
30.671499312498,14
30.746922006332,110
30.747041006348,116
30.74748800641,116
30.747738655014,14
30.747836006118,122
30.748094914464,122
30.749441428517,122
30.752364945589,116
30.752466162639,122
30.75378975293,122
30.754289207217,116
30.755059591232,116
30.758108077704,14
30.760352987184,122
30.763091969269,14
30.774526022422,14
30.790621507061,1500
30.792357162762,864
30.800820292722,1500
30.812505687345,864
30.814843476092,1500
30.815060135244,864
30.822716890238,944
30.827250250914,92
30.840124912501,104
30.844416593382,104
30.8445715934,110
30.853674719465,116
30.856431804279,110
