"packetSent:vector(packetBytes) manet.host[0].udp ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
16.077182506196,10008
16.196342613868,10008
16.307250787535,10008
16.408273834114,10008
16.51779063917,10008
16.616377420372,10008
16.703109970607,10008
16.803117643513,10008
16.894456943564,10008
16.977483879385,10008
17.088018504476,10008
17.19384726504,10008
17.306542377455,10008
17.426458121428,10008
17.523525977639,10008
17.635577006686,10008
17.748391818238,10008
17.82984758705,10008
17.911745349961,10008
18.02112449973,10008
18.132266441194,10008
18.214157564874,10008
18.301135860189,10008
18.394384496381,10008
18.487013378154,10008
18.570089667832,10008
18.681503067567,10008
18.765221740763,10008
18.845936308318,10008
18.947979732213,10008
19.044634311145,10008
19.135203420037,10008
19.237993222532,10008
19.328128691121,10008
19.41758991236,10008
19.499727906819,10008
19.595315318891,10008
19.697572308137,10008
19.811698002173,10008
19.927337728218,10008
20.011293143193,10008
20.117184664226,10008
20.228760657125,10008
20.31270941306,10008
20.416296563587,10008
20.496690852987,10008
20.596230497435,10008
20.705880870018,10008
20.806856608922,10008
20.904721109644,10008
20.995677916659,10008
21.098950005835,10008
21.207415933618,10008
21.319422994479,10008
21.434826596165,10008
21.548974184878,10008
21.632504857527,10008
21.745978757162,10008
21.855630397257,10008
21.958846076495,10008
22.06754331925,10008
22.15184871167,10008
22.254871846764,10008
22.342701504715,10008
22.429386484875,10008
22.51699272764,10008
22.601290588063,10008
22.706358486331,10008
22.810969028222,10008
22.903877190119,10008
23.005749979308,10008
23.105814217199,10008
23.19341844623,10008
23.28119090139,10008
23.385434275224,10008
23.483873698405,10008
23.57319933625,10008
23.686580493097,10008
23.783685166306,10008
23.868596281625,10008
23.97921783141,10008
24.098971046742,10008
24.187316974478,10008
24.299380494153,10008
24.384924696658,10008
24.474561456295,10008
24.568262665097,10008
24.675499366515,10008
24.782808478002,10008
24.870716109129,10008
24.977016233571,10008
25.06355376594,10008
25.181360817293,10008
25.27926842605,10008
25.376082787069,10008
25.47183219082,10008
25.590965396336,10008
25.672189618212,10008
25.777790494573,10008
25.896004576937,10008
25.979427658695,10008
26.07519989827,10008
26.160571295631,10008
26.273460252558,10008
26.372382891898,10008
26.459211233224,10008
26.555775187568,10008
26.640424428576,10008
26.748382049709,10008
26.855929528906,10008
26.960787758374,10008
27.051577992712,10008
27.148135246684,10008
27.247219680336,10008
27.347573735996,10008
27.450373248544,10008
27.53189921885,10008
27.61353980506,10008
27.733341099566,10008
27.835640052792,10008
27.932982417515,10008
28.026236746723,10008
28.123859328741,10008
28.208907575991,10008
28.326651407314,10008
28.440571603143,10008
28.548307772485,10008
28.630405471326,10008
28.720604606412,10008
28.837710801113,10008
28.953283830156,10008
29.04594049438,10008
29.163207957001,10008
29.249455490514,10008
29.329886363429,10008
29.434276108026,10008
29.550261689966,10008
29.652597724014,10008
29.744031637992,10008
29.832344845283,10008
29.932830241091,10008
30.02351801294,10008
30.112079402638,10008
30.192692479278,10008
30.291538150433,10008
30.374333292909,10008
30.48970618318,10008
30.601825431475,10008
30.684008383268,10008
30.797232023116,10008
30.909008349508,10008
31.009514146225,10008
31.101297703014,10008
31.188125326858,10008
31.271566314912,10008
31.36409452606,10008
31.475750202527,10008
31.579951749528,10008
31.671527128928,10008
31.754342157804,10008
31.862054429725,10008
31.96641544845,10008
32.083624650613,10008
32.200921859295,10008
32.290930045313,10008
32.375370333782,10008
32.46944765565,10008
32.571564202812,10008
32.671937742224,10008
32.76092127135,10008
32.865918388041,10008
32.964630397894,10008
33.075779667972,10008
33.192444640892,10008
33.298522907552,10008
33.405530799945,10008
33.520015169551,10008
33.631135262951,10008
33.720636294458,10008
33.832143513804,10008
33.949301136743,10008
34.059219932502,10008
34.141223380018,10008
34.235741497187,10008
34.333906078536,10008
34.437219146715,10008
34.521635702719,10008
34.628296577177,10008
34.70935253772,10008
34.806929742378,10008
34.911251527677,10008
34.993121396397,10008
35.1030129922,10008
35.218506623339,10008
35.307313402156,10008
35.399017960691,10008
35.512852706184,10008
35.621970050969,10008
35.712400081922,10008
35.795137829846,10008
35.903608267075,10008
36.003242187407,10008
36.106221209122,10008
36.214776947647,10008
36.324047183022,10008
36.420060886787,10008
36.509721635757,10008
36.62550977774,10008
36.728368959464,10008
36.840296972813,10008
36.95553025295,10008
37.064725922886,10008
37.14722632532,10008
37.236254424211,10008
37.31974586783,10008
37.432689205958,10008
37.514879293247,10008
37.629939559606,10008
37.723665479506,10008
37.806369685643,10008
37.906773314458,10008
37.996720902604,10008
38.098288128731,10008
38.213755658549,10008
38.303187040678,10008
38.412674462358,10008
38.52197473473,10008
38.614488814623,10008
38.716986180517,10008
38.829982834338,10008
38.919361033673,10008
39.032018772122,10008
39.149761675178,10008
39.267542653411,10008
39.366591720862,10008
39.447400749094,10008
39.562434777544,10008
39.659878232564,10008
39.774688840631,10008
39.868723137082,10008
39.981101136367,10008
40.074486674174,10008
40.164097054043,10008
40.257163141185,10008
40.364043467717,10008
40.475990472596,10008
40.580262413259,10008
40.685181699331,10008
40.779508707506,10008
40.87414031448,10008
40.972132069228,10008
41.071249487085,10008
41.169945704538,10008
41.251397542946,10008
41.370004018342,10008
41.452734013025,10008
41.561056467027,10008
41.677183058981,10008
41.795363626352,10008
41.901787638462,10008
42.004587123806,10008
42.094574770604,10008
42.199639589845,10008
42.299566947671,10008
42.382802176478,10008
42.48578455752,10008
42.592822376995,10008
42.688742778136,10008
42.805949575764,10008
42.905898740136,10008
43.000775514918,10008
43.094520000352,10008
43.19971911072,10008
43.314755949743,10008
43.416669172721,10008
43.50425531137,10008
43.616962277668,10008
43.721726606053,10008
43.829203525207,10008
43.942443605869,10008
44.048456872015,10008
44.151656725037,10008
44.241283085265,10008
44.324165826619,10008
44.428596964816,10008
44.521358597672,10008
44.625042619987,10008
44.71257816463,10008
44.821593391041,10008
44.938737457034,10008
45.039793991458,10008
45.12785799646,10008
45.216489960749,10008
45.335479762417,10008
45.417458607995,10008
45.498931841285,10008
45.613883232524,10008
45.722182875679,10008
45.826251419767,10008
45.920124465239,10008
46.024496782723,10008
46.133009056135,10008
46.219274015737,10008
46.325260547645,10008
46.436543418005,10008
46.536520667611,10008
46.649381941021,10008
46.748344244514,10008
46.868305856496,10008
46.983208372448,10008
47.094383549434,10008
47.174619841608,10008
47.275363072562,10008
47.381681252844,10008
47.472951315209,10008
47.577407515678,10008
47.67469281077,10008
47.75567697276,10008
47.862632255374,10008
47.943329315601,10008
48.03775831048,10008
48.134148519371,10008
48.247634551,10008
48.347353189668,10008
48.433283080791,10008
48.537102787864,10008
48.630637118683,10008
48.720691393257,10008
48.807950832701,10008
48.901392792013,10008
48.997872397468,10008
49.083502585074,10008
49.198232522603,10008
49.31628093327,10008
49.429224476699,10008
49.547179581957,10008
49.651745179506,10008
49.749512986537,10008
49.835647422966,10008
49.928699378303,10008
50.036634837433,10008
50.144263358374,10008
50.244051831725,10008
50.358792276957,10008
50.467940853515,10008
50.568729996111,10008
50.663574741611,10008
50.765071048958,10008
50.881930731728,10008
50.973434932146,10008
51.053634190827,10008
51.172725482366,10008
51.288981320054,10008
51.401631490865,10008
