"powerConsumption:vector manet.host[0].energyStorage ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
0.130505458661,0.004
0.130505458661,0.004
0.130560458661,0
0.130560458661,0
0.130560458661,0.004
0.130560458661,0
0.130560458661,0.20000000000000001
0.130606458661,0.004
0.130606458661,0.004
0.130606458661,0
0.130606458661,0.004
0.130606458661,0.004
0.131164054051,0
0.131164054051,0
0.131164054051,0.004
0.131164054051,0
0.131164054051,0.20000000000000001
0.131210054051,0.004
0.131210054051,0.004
0.131210054051,0
0.131210054051,0.004
0.131210054051,0.004
0.132145793221,0
0.132145793221,0
0.132145793221,0.004
0.132145793221,0
0.132145793221,0.20000000000000001
0.132191793221,0.004
0.132191793221,0.004
0.132191793221,0
0.132191793221,0.004
0.132191793221,0.004
0.132896333082,0
0.132896333082,0.019999999999999996
0.132942333082,0.004
0.132942333082,0.004
0.13320999977,0
0.13320999977,0.019999999999999996
0.13325599977,0.004
0.13325599977,0.004
0.134370536521,0
0.134370536521,0
0.134370536521,0.004
0.134370536521,0
0.134370536521,0.20000000000000001
0.134416536521,0.004
0.134416536521,0.004
0.134416536521,0
0.134416536521,0.004
0.134416536521,0.004
0.134453536521,0
0.134453536521,0
0.134453536521,0.004
0.134453536521,0
0.134453536521,0.20000000000000001
0.134499536521,0.004
0.134499536521,0.004
0.134499536521,0
0.134499536521,0.004
0.134499536521,0.004
0.135329558622,0
0.135329558622,0.019999999999999996
0.135375558622,0.004
0.135375558622,0.004
0.136047292277,0
0.136047292277,0.019999999999999996
0.136093292277,0.004
0.136093292277,0.004
0.137051117805,0
0.137051117805,0.019999999999999996
0.137097117805,0.004
0.137097117805,0.004
0.137258476502,0
0.137258476502,0.019999999999999996
0.137304476502,0.004
0.137304476502,0.004
0.137435773372,0
0.137435773372,0.019999999999999996
0.137481773372,0.004
0.137481773372,0.004
0.137668318754,0
0.137668318754,0.019999999999999996
0.137714318754,0.004
0.137714318754,0.004
0.137805318754,0
0.137805318754,0
0.137805318754,0.004
0.137805318754,0
0.137805318754,0.20000000000000001
0.137851318754,0.004
0.137851318754,0.004
0.137851318754,0
0.137851318754,0.004
0.137851318754,0.004
0.138279508766,0
0.138279508766,0.019999999999999996
0.138325508766,0.004
0.138325508766,0.004
0.138479366877,0
0.138479366877,0
0.138479366877,0.004
0.138479366877,0
0.138479366877,0.20000000000000001
0.138525366877,0.004
0.138525366877,0.004
0.138525366877,0
0.138525366877,0.004
0.138525366877,0.004
0.138679366877,0
0.138679366877,0
0.138679366877,0.004
0.138679366877,0
0.138679366877,0.20000000000000001
0.138725366877,0.004
0.138725366877,0.004
0.138725366877,0
0.138725366877,0.004
0.138725366877,0.004
0.139050950712,0
0.139050950712,0.019999999999999996
0.139096950712,0.004
0.139096950712,0.004
0.140443421447,0
0.140443421447,0.019999999999999996
0.140489421447,0.004
0.140489421447,0.004
0.141697804149,0
0.141697804149,0.019999999999999996
0.141743804149,0.004
0.141743804149,0.004
0.14292285605,0
0.14292285605,0.019999999999999996
0.14296885605,0.004
0.14296885605,0.004
0.14305985605,0
0.14305985605,0
0.14305985605,0.004
0.14305985605,0
0.14305985605,0.20000000000000001
0.14310585605,0.004
0.14310585605,0.004
0.14310585605,0
0.14310585605,0.004
0.14310585605,0.004
3.107866584096,0
3.107866584096,0
3.107866584096,0.004
3.107866584096,0
3.107866584096,0.20000000000000001
3.107908584096,0.004
3.107908584096,0.004
3.107908584096,0
3.107908584096,0.004
3.107908584096,0.004
3.117699033686,0
3.117699033686,0.019999999999999996
3.117741033686,0.004
3.117741033686,0.004
3.12674511874,0
3.12674511874,0.019999999999999996
3.12678711874,0.004
3.12678711874,0.004
3.127659936978,0
3.127659936978,0
3.127659936978,0.004
3.127659936978,0
3.127659936978,0.20000000000000001
3.127701936978,0.004
3.127701936978,0.004
3.127701936978,0
3.127701936978,0.004
3.127701936978,0.004
3.129297447875,0
3.129297447875,0.019999999999999996
3.129343447875,0.004
3.129343447875,0.004
3.129461015616,0
3.129461015616,0.019999999999999996
3.129499015616,0.004
3.129499015616,0.004
3.129823015587,0
3.129823015587,0.019999999999999996
